綜藝生活,#genre#
voa-ingest-09,https://voa-ingest.akamaized.net/hls/live/2033880/tvmc09/playlist_1080.m3u8
voa-ingest-09,https://voa-ingest.akamaized.net/hls/live/2033880/tvmc09/playlist.m3u8
voa-ingest-10,https://voa-ingest.akamaized.net/hls/live/2033882/tvmc10/playlist_1080.m3u8
voa-ingest-10,https://voa-ingest.akamaized.net/hls/live/2033882/tvmc10/playlist.m3u8
voa-ingest-11,https://voa-ingest.akamaized.net/hls/live/2033884/tvmc11/playlist_1080.m3u8
voa-ingest-11,https://voa-ingest.akamaized.net/hls/live/2033884/tvmc11/playlist.m3u8
voa-ingest-12,https://voa-ingest.akamaized.net/hls/live/2033886/tvmc12/playlist_1080.m3u8
voa-ingest-12,https://voa-ingest.akamaized.net/hls/live/2033886/tvmc12/playlist.m3u8

Radio,#genre#
2GB SYDENY,https://2gblive.akamaized.net/hls/live/2033805/2GB/2GB1080P/chunklist.m3u8
2GB SYDENY,https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8
3AW MELBOURNE,https://3awlive.akamaized.net/hls/live/2032295/3AW/3AW1080P/chunklist.m3u8
3AW MELBOURNE,https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8
6PR PERTH,https://6prlive.akamaized.net/hls/live/2033806/6PR/6PR1080P/chunklist.m3u8
6PR PERTH,https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8
SWR DASDING,https://swrdasdingvr-hls.akamaized.net/hls/live/2018681/dasdingvr/master-1080p-5128.m3u8
SWR DASDING,https://swrdasdingvr-hls.akamaized.net/hls/live/2018681/dasdingvr/master.m3u8
QmusicNL,https://dpp-qmusicnl-live.akamaized.net/streamx/QmusicNL_720p.m3u8
